"","dow","hour","nbrhood","count"
"341",0,2,"SanSNS",48
"342",0,2,"SanSOR",8
"343",0,2,"SanSOU",43
"344",0,2,"SanSSI",41
"345",0,2,"SanSTH",3
"346",0,2,"SanSTO",12
"347",0,2,"SanSUN",6
"348",0,2,"SanSWA",8
"349",0,2,"SanTAL",30
"350",0,2,"SanTER",19
"351",0,2,"SanTIJ",4
"352",0,2,"SanTIR",15
"353",0,2,"SanTOM",24
"354",0,2,"SanTOR",3
"355",0,2,"SanTRL",13
"356",0,2,"SanTRR",1
"357",0,2,"SanTRV",1
"358",0,2,"SanUIN",27
"359",0,2,"SanVAL",15
"360",0,2,"SanWOD",3
"361",0,3,"NONE",2171
"362",0,3,"SanADM",8
"363",0,3,"SanALL",11
"364",0,3,"SanALT",2
"365",0,3,"SanAZL",10
"366",0,3,"SanBAH",14
"367",0,3,"SanBAL",6
"368",0,3,"SanBAP",21
"369",0,3,"SanBAR",22
"370",0,3,"SanBAT",22
"371",0,3,"SanBIR",9
"372",0,3,"SanBOR",26
"373",0,3,"SanBRO",2
"374",0,3,"SanBUR",2
"375",0,3,"SanCAE",5
"376",0,3,"SanCAL",24
"377",0,3,"SanCAR",18
"378",0,3,"SanCAS",11
"379",0,3,"SanCHE",17
"380",0,3,"SanCHL",9
"381",0,3,"SanCHO",5
"382",0,3,"SanCLL",27
"383",0,3,"SanCLN",25
"384",0,3,"SanCLR",3
"385",0,3,"SanCOE",47
"386",0,3,"SanCOR",80
"387",0,3,"SanCRR",27
"388",0,3,"SanCRT",25
"389",0,3,"SanDLC",11
"390",0,3,"SanDLM",6
"391",0,3,"SanEAN",16
"392",0,3,"SanEAS",118
"393",0,3,"SanEGG",3
"394",0,3,"SanELC",17
"395",0,3,"SanEMR",9
"396",0,3,"SanFAI",6
"397",0,3,"SanFOX",2
"398",0,3,"SanFRM",10
"399",0,3,"SanGAS",72
"400",0,3,"SanGOL",19
"401",0,3,"SanGRA",27
"402",0,3,"SanGRN",21
"403",0,3,"SanHAR",6
"404",0,3,"SanHIL",50
"405",0,3,"SanHOR",4
"406",0,3,"SanIDW",47
"407",0,3,"SanISL",1
"408",0,3,"SanISS",4
"409",0,3,"SanJAM",7
"410",0,3,"SanKEN",3
"411",0,3,"SanKER",23
"412",0,3,"SanLAJ",33
"413",0,3,"SanLAK",12
"414",0,3,"SanLAP",5
"415",0,3,"SanLIN",15
"416",0,3,"SanLIT",11
"417",0,3,"SanLNC",13
"418",0,3,"SanLOG",19
"419",0,3,"SanLOM",4
"420",0,3,"SanMAR",31
"421",0,3,"SanMDT",9
"422",0,3,"SanMIA",11
"423",0,3,"SanMIR",37
"424",0,3,"SanMIS",23
"425",0,3,"SanMON",29
"426",0,3,"SanMOR",18
"427",0,3,"SanMRM",3
"428",0,3,"SanMSB",1
"429",0,3,"SanMSH",18
"430",0,3,"SanMST",8
"431",0,3,"SanMTO",16
"432",0,3,"SanNES",16
"433",0,3,"SanNOA",13
"434",0,3,"SanNOR",2
"435",0,3,"SanNRM",23
"436",0,3,"SanNRT",66
"437",0,3,"SanNUV",33
"438",0,3,"SanOCN",47
"439",0,3,"SanOEC",10
"440",0,3,"SanOKP",18
"441",0,3,"SanOOL",2
"442",0,3,"SanOTM",10
"443",0,3,"SanPAL",3
"444",0,3,"SanPAR",5
"445",0,3,"SanPCF",207
"446",0,3,"SanPET",7
"447",0,3,"SanPON",22
"448",0,3,"SanPRK",9
"449",0,3,"SanRAN",22
"450",0,3,"SanRED",14
"451",0,3,"SanRID",9
"452",0,3,"SanRNC",20
"453",0,3,"SanROL",20
"454",0,3,"SanROS",12
"455",0,3,"SanSAB",4
"456",0,3,"SanSAN",1
"457",0,3,"SanSCR",13
"458",0,3,"SanSER",23
"459",0,3,"SanSHE",6
"460",0,3,"SanSHR",8
"461",0,3,"SanSKL",9
"462",0,3,"SanSNC",3
"463",0,3,"SanSNS",30
"464",0,3,"SanSOR",10
"465",0,3,"SanSOU",21
"466",0,3,"SanSSI",31
"467",0,3,"SanSTH",10
"468",0,3,"SanSTO",15
"469",0,3,"SanSUN",3
"470",0,3,"SanSWA",10
"471",0,3,"SanTAL",18
"472",0,3,"SanTER",10
"473",0,3,"SanTIJ",1
"474",0,3,"SanTIR",18
"475",0,3,"SanTOM",26
"476",0,3,"SanTOR",2
"477",0,3,"SanTRL",11
"478",0,3,"SanTRR",3
"479",0,3,"SanTRV",1
"480",0,3,"SanUIN",25
"481",0,3,"SanVAL",21
"482",0,3,"SanWOD",2
"483",0,4,"NONE",1382
"484",0,4,"SanADM",6
"485",0,4,"SanALL",5
"486",0,4,"SanAZL",7
"487",0,4,"SanBAH",4
"488",0,4,"SanBAL",6
"489",0,4,"SanBAP",13
"490",0,4,"SanBAR",13
"491",0,4,"SanBAT",17
"492",0,4,"SanBIR",6
"493",0,4,"SanBLA",3
"494",0,4,"SanBOR",50
"495",0,4,"SanBUR",1
"496",0,4,"SanCAE",8
"497",0,4,"SanCAL",20
"498",0,4,"SanCAR",16
"499",0,4,"SanCAS",10
"500",0,4,"SanCHE",6
"501",0,4,"SanCHL",5
"502",0,4,"SanCHO",5
"503",0,4,"SanCLL",15
"504",0,4,"SanCLN",19
"505",0,4,"SanCLR",2
"506",0,4,"SanCOE",12
"507",0,4,"SanCOR",51
"508",0,4,"SanCRR",8
"509",0,4,"SanCRT",23
"510",0,4,"SanDLC",8
"511",0,4,"SanDLM",2
"512",0,4,"SanEAN",10
"513",0,4,"SanEAS",66
"514",0,4,"SanEGG",3
"515",0,4,"SanELC",6
"516",0,4,"SanEMR",8
"517",0,4,"SanFAI",3
"518",0,4,"SanFOX",1
"519",0,4,"SanFRM",5
"520",0,4,"SanGAS",26
"521",0,4,"SanGOL",17
"522",0,4,"SanGRA",19
"523",0,4,"SanGRN",6
"524",0,4,"SanHAR",3
"525",0,4,"SanHIL",30
"526",0,4,"SanHOR",4
"527",0,4,"SanIDW",28
"528",0,4,"SanISL",1
"529",0,4,"SanISS",8
"530",0,4,"SanJAM",6
"531",0,4,"SanKEN",5
"532",0,4,"SanKER",13
"533",0,4,"SanLAJ",29
"534",0,4,"SanLAK",5
"535",0,4,"SanLIN",18
"536",0,4,"SanLIT",9
"537",0,4,"SanLNC",10
"538",0,4,"SanLOG",11
"539",0,4,"SanLOM",1
"540",0,4,"SanMAR",5
"541",0,4,"SanMDT",6
"542",0,4,"SanMIA",8
"543",0,4,"SanMIR",39
"544",0,4,"SanMIS",12
"545",0,4,"SanMON",14
"546",0,4,"SanMOR",11
"547",0,4,"SanMRM",1
"548",0,4,"SanMSH",11
"549",0,4,"SanMST",12
"550",0,4,"SanMTO",4
"551",0,4,"SanNES",10
"552",0,4,"SanNOA",16
"553",0,4,"SanNRM",16
"554",0,4,"SanNRT",47
"555",0,4,"SanNUV",26
"556",0,4,"SanOCN",27
"557",0,4,"SanOEC",4
"558",0,4,"SanOKP",12
"559",0,4,"SanOOL",5
"560",0,4,"SanOTM",9
"561",0,4,"SanPAL",4
"562",0,4,"SanPAR",9
"563",0,4,"SanPCF",128
"564",0,4,"SanPET",1
"565",0,4,"SanPON",24
"566",0,4,"SanPRK",17
"567",0,4,"SanRAN",13
"568",0,4,"SanRED",7
"569",0,4,"SanRID",7
"570",0,4,"SanRNC",12
"571",0,4,"SanROL",9
"572",0,4,"SanROS",6
"573",0,4,"SanSAB",1
"574",0,4,"SanSCR",3
"575",0,4,"SanSER",16
"576",0,4,"SanSHE",3
"577",0,4,"SanSHR",10
"578",0,4,"SanSKL",3
"579",0,4,"SanSNC",2
"580",0,4,"SanSNS",36
"581",0,4,"SanSOR",6
"582",0,4,"SanSOU",19
"583",0,4,"SanSSI",26
"584",0,4,"SanSTH",6
"585",0,4,"SanSTO",4
"586",0,4,"SanSUN",1
"587",0,4,"SanSWA",5
"588",0,4,"SanTAL",15
"589",0,4,"SanTER",7
"590",0,4,"SanTIJ",1
"591",0,4,"SanTIR",10
"592",0,4,"SanTOM",15
"593",0,4,"SanTOR",2
"594",0,4,"SanTRL",9
"595",0,4,"SanTRR",3
"596",0,4,"SanTRV",1
"597",0,4,"SanUIN",12
"598",0,4,"SanVAL",9
"599",0,5,"NONE",920
"600",0,5,"SanADM",4
"601",0,5,"SanALL",3
"602",0,5,"SanAZL",4
"603",0,5,"SanBAH",9
"604",0,5,"SanBAL",4
"605",0,5,"SanBAP",8
"606",0,5,"SanBAR",12
"607",0,5,"SanBAT",13
"608",0,5,"SanBIR",5
"609",0,5,"SanBLA",2
"610",0,5,"SanBOR",31
"611",0,5,"SanCAE",2
"612",0,5,"SanCAL",11
"613",0,5,"SanCAR",5
"614",0,5,"SanCAS",4
"615",0,5,"SanCHE",8
"616",0,5,"SanCHL",2
"617",0,5,"SanCHO",1
"618",0,5,"SanCLL",4
"619",0,5,"SanCLN",16
"620",0,5,"SanCLR",1
"621",0,5,"SanCOE",9
"622",0,5,"SanCOR",21
"623",0,5,"SanCRR",10
"624",0,5,"SanCRT",14
"625",0,5,"SanDLC",4
"626",0,5,"SanDLM",1
"627",0,5,"SanEAN",5
"628",0,5,"SanEAS",24
"629",0,5,"SanEGG",5
"630",0,5,"SanELC",8
"631",0,5,"SanFAI",2
"632",0,5,"SanFOX",2
"633",0,5,"SanFRM",4
"634",0,5,"SanGAS",10
"635",0,5,"SanGOL",8
"636",0,5,"SanGRA",19
"637",0,5,"SanGRN",4
"638",0,5,"SanHAR",2
"639",0,5,"SanHIL",17
"640",0,5,"SanHOR",1
"641",0,5,"SanIDW",25
"642",0,5,"SanISS",5
"643",0,5,"SanJAM",2
"644",0,5,"SanKEN",3
"645",0,5,"SanKER",9
"646",0,5,"SanLAJ",13
"647",0,5,"SanLAK",5
"648",0,5,"SanLAP",1
"649",0,5,"SanLIN",10
"650",0,5,"SanLIT",7
"651",0,5,"SanLOG",10
"652",0,5,"SanLOM",3
