"","date","count"
"473","2008-04-17",472
"474","2008-04-18",584
"475","2008-04-19",545
"476","2008-04-20",489
"477","2008-04-21",483
"478","2008-04-22",478
"479","2008-04-23",447
"480","2008-04-24",517
"481","2008-04-25",572
"482","2008-04-26",541
"483","2008-04-27",427
"484","2008-04-28",524
"485","2008-04-29",455
"486","2008-04-30",475
"487","2008-05-01",628
"488","2008-05-02",575
"489","2008-05-03",588
"490","2008-05-04",493
"491","2008-05-05",518
"492","2008-05-06",441
"493","2008-05-07",478
"494","2008-05-08",463
"495","2008-05-09",588
"496","2008-05-10",555
"497","2008-05-11",516
"498","2008-05-12",473
"499","2008-05-13",465
"500","2008-05-14",468
"501","2008-05-15",519
"502","2008-05-16",591
"503","2008-05-17",582
"504","2008-05-18",565
"505","2008-05-19",504
"506","2008-05-20",451
"507","2008-05-21",482
"508","2008-05-22",503
"509","2008-05-23",558
"510","2008-05-24",543
"511","2008-05-25",531
"512","2008-05-26",447
"513","2008-05-27",481
"514","2008-05-28",471
"515","2008-05-29",475
"516","2008-05-30",609
"517","2008-05-31",583
"518","2008-06-01",670
"519","2008-06-02",520
"520","2008-06-03",491
"521","2008-06-04",481
"522","2008-06-05",532
"523","2008-06-06",624
"524","2008-06-07",577
"525","2008-06-08",516
"526","2008-06-09",441
"527","2008-06-10",489
"528","2008-06-11",463
"529","2008-06-12",507
"530","2008-06-13",589
"531","2008-06-14",584
"532","2008-06-15",517
"533","2008-06-16",536
"534","2008-06-17",491
"535","2008-06-18",542
"536","2008-06-19",507
"537","2008-06-20",616
"538","2008-06-21",587
"539","2008-06-22",493
"540","2008-06-23",495
"541","2008-06-24",476
"542","2008-06-25",480
"543","2008-06-26",491
"544","2008-06-27",598
"545","2008-06-28",582
"546","2008-06-29",511
"547","2008-06-30",508
"548","2008-07-01",578
"549","2008-07-02",456
"550","2008-07-03",604
"551","2008-07-04",693
"552","2008-07-05",508
"553","2008-07-06",492
"554","2008-07-07",474
"555","2008-07-08",500
"556","2008-07-09",424
"557","2008-07-10",463
"558","2008-07-11",546
"559","2008-07-12",588
"560","2008-07-13",522
"561","2008-07-14",451
"562","2008-07-15",461
"563","2008-07-16",494
"564","2008-07-17",470
"565","2008-07-18",596
"566","2008-07-19",540
"567","2008-07-20",503
"568","2008-07-21",501
"569","2008-07-22",469
"570","2008-07-23",454
"571","2008-07-24",495
"572","2008-07-25",557
"573","2008-07-26",563
"574","2008-07-27",492
"575","2008-07-28",475
"576","2008-07-29",508
"577","2008-07-30",476
"578","2008-07-31",484
"579","2008-08-01",750
"580","2008-08-02",544
"581","2008-08-03",525
"582","2008-08-04",508
"583","2008-08-05",481
"584","2008-08-06",476
"585","2008-08-07",504
"586","2008-08-08",563
"587","2008-08-09",569
"588","2008-08-10",471
"589","2008-08-11",488
"590","2008-08-12",413
"591","2008-08-13",506
"592","2008-08-14",512
"593","2008-08-15",562
"594","2008-08-16",547
"595","2008-08-17",471
"596","2008-08-18",450
"597","2008-08-19",493
"598","2008-08-20",497
"599","2008-08-21",509
"600","2008-08-22",575
"601","2008-08-23",520
"602","2008-08-24",443
"603","2008-08-25",423
"604","2008-08-26",458
"605","2008-08-27",448
"606","2008-08-28",471
"607","2008-08-29",664
"608","2008-08-30",631
"609","2008-08-31",549
"610","2008-09-01",609
"611","2008-09-02",490
"612","2008-09-03",478
"613","2008-09-04",448
"614","2008-09-05",559
"615","2008-09-06",559
"616","2008-09-07",520
"617","2008-09-08",500
"618","2008-09-09",529
"619","2008-09-10",424
"620","2008-09-11",466
"621","2008-09-12",589
"622","2008-09-13",557
"623","2008-09-14",463
"624","2008-09-15",498
"625","2008-09-16",464
"626","2008-09-17",462
"627","2008-09-18",506
"628","2008-09-19",623
"629","2008-09-20",532
"630","2008-09-21",467
"631","2008-09-22",477
"632","2008-09-23",497
"633","2008-09-24",499
"634","2008-09-25",473
"635","2008-09-26",584
"636","2008-09-27",575
"637","2008-09-28",466
"638","2008-09-29",500
"639","2008-09-30",502
"640","2008-10-01",561
"641","2008-10-02",491
"642","2008-10-03",577
"643","2008-10-04",508
"644","2008-10-05",455
"645","2008-10-06",463
"646","2008-10-07",483
"647","2008-10-08",489
"648","2008-10-09",515
"649","2008-10-10",601
"650","2008-10-11",503
"651","2008-10-12",457
"652","2008-10-13",441
"653","2008-10-14",468
"654","2008-10-15",493
"655","2008-10-16",505
"656","2008-10-17",603
"657","2008-10-18",524
"658","2008-10-19",450
"659","2008-10-20",504
"660","2008-10-21",460
"661","2008-10-22",526
"662","2008-10-23",503
"663","2008-10-24",600
"664","2008-10-25",529
"665","2008-10-26",437
"666","2008-10-27",446
"667","2008-10-28",469
"668","2008-10-29",478
"669","2008-10-30",527
"670","2008-10-31",620
"671","2008-11-01",648
"672","2008-11-02",465
"673","2008-11-03",442
"674","2008-11-04",424
"675","2008-11-05",494
"676","2008-11-06",457
"677","2008-11-07",506
"678","2008-11-08",557
"679","2008-11-09",420
"680","2008-11-10",486
"681","2008-11-11",419
"682","2008-11-12",456
"683","2008-11-13",473
"684","2008-11-14",609
"685","2008-11-15",534
"686","2008-11-16",444
"687","2008-11-17",434
"688","2008-11-18",470
"689","2008-11-19",468
"690","2008-11-20",492
"691","2008-11-21",534
"692","2008-11-22",574
"693","2008-11-23",456
"694","2008-11-24",415
"695","2008-11-25",466
"696","2008-11-26",495
"697","2008-11-27",342
"698","2008-11-28",461
"699","2008-11-29",533
"700","2008-11-30",455
"701","2008-12-01",554
"702","2008-12-02",478
"703","2008-12-03",434
"704","2008-12-04",488
"705","2008-12-05",605
"706","2008-12-06",516
"707","2008-12-07",430
"708","2008-12-08",439
"709","2008-12-09",464
"710","2008-12-10",462
"711","2008-12-11",407
"712","2008-12-12",509
"713","2008-12-13",506
"714","2008-12-14",414
"715","2008-12-15",382
"716","2008-12-16",476
"717","2008-12-17",379
"718","2008-12-18",439
"719","2008-12-19",576
"720","2008-12-20",505
"721","2008-12-21",478
"722","2008-12-22",403
"723","2008-12-23",486
"724","2008-12-24",373
"725","2008-12-25",291
"726","2008-12-26",394
"727","2008-12-27",452
"728","2008-12-28",435
"729","2008-12-29",455
"730","2008-12-30",470
"731","2008-12-31",467
"732","2009-01-01",809
"733","2009-01-02",494
"734","2009-01-03",475
"735","2009-01-04",378
"736","2009-01-05",397
"737","2009-01-06",409
"738","2009-01-07",409
"739","2009-01-08",420
"740","2009-01-09",511
"741","2009-01-10",523
"742","2009-01-11",449
